序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,yf_code
3138,000876,新 希 望,9.13,0.33,0.03,142075.0,129707973.72,0.44,9.15,9.11,9.11,9.1,0.68,0.32,40.57,1.85,41108525289.0,41078576570.0,0.0,0.11,-7.78,1.9,000876.SZ
3140,002500,山西证券,6.11,0.33,0.02,170306.0,103997070.54,0.99,6.13,6.07,6.1,6.09,0.9,0.47,22.48,1.2,21933504152.0,21933504152.0,0.0,0.0,-3.02,-1.13,002500.SZ
3144,002746,仙坛股份,6.12,0.33,0.02,73724.0,45129063.4,0.66,6.14,6.1,6.12,6.1,0.6,1.04,20.45,1.16,5266497009.0,4343218509.0,-0.16,0.0,-0.81,2.17,002746.SZ
3145,688616,西力科技,12.33,0.33,0.04,16832.0,20742277.0,1.46,12.43,12.25,12.33,12.29,1.13,0.94,25.0,2.6,2211734007.0,2211734007.0,0.16,0.08,-6.45,22.08,688616.SS
3148,600841,动力新科,6.15,0.33,0.02,66991.0,41071521.0,1.14,6.16,6.09,6.13,6.13,0.79,0.64,-18.31,2.7,8535103972.0,6414600577.0,0.0,-0.16,-4.8,21.3,600841.SS
3151,600775,南京熊猫,12.09,0.33,0.04,947033.0,1140203765.0,3.65,12.24,11.8,11.92,12.05,2.8,14.1,-92.36,3.65,11048307816.0,8122527816.0,0.08,0.0,5.77,20.42,600775.SS
3152,002065,东华软件,9.16,0.33,0.03,356375.0,325553011.47,0.99,9.18,9.09,9.13,9.13,0.97,1.23,62.83,2.41,29362218555.0,26636562305.0,0.0,0.11,-19.86,27.05,002065.SZ
3153,000788,北大医药,6.36,0.32,0.02,236319.0,148865026.33,1.89,6.36,6.24,6.35,6.34,0.85,3.97,20.91,2.35,3790480023.0,3790480023.0,0.0,0.16,4.95,7.07,000788.SZ
3157,003015,日久光电,15.91,0.32,0.05,35620.0,56556445.0,1.01,15.95,15.79,15.95,15.86,1.05,1.44,43.61,4.1,4471770672.0,3936160920.0,0.0,0.06,-13.91,12.76,003015.SZ
3159,600637,东方明珠,9.46,0.32,0.03,351662.0,330779009.0,1.59,9.5,9.35,9.38,9.43,0.96,1.05,44.04,1.07,31803572269.0,31803572269.0,-0.11,-0.11,-3.07,25.63,600637.SS
3160,600048,保利发展,6.28,0.32,0.02,659355.0,413660865.0,1.12,6.31,6.24,6.28,6.26,0.63,0.55,29.23,0.39,75174384665.0,75174384665.0,0.0,0.16,-18.02,-27.73,600048.SS
3161,600059,古越龙山,9.32,0.32,0.03,81307.0,75696945.0,1.4,9.38,9.25,9.29,9.29,0.94,0.89,47.24,1.46,8495575289.0,8495575289.0,0.0,0.0,-3.02,5.91,600059.SS
